ID,Name,Severity,Status,Location,Branch,Message,Description,Line Span,CWE,Created Date,Closed Date,False Positive,False Positive Explanation
e5110c81-1300-4f24-a8fe-dbad598236e8,Local Storage Token Exposure,medium,open,/app/frontend/src/services/websocket.ts,taskflow,Using localStorage to store tokens makes them vulnerable to client-side attacks. The token is accessible via JavaScript and could be exfiltrated by attackers. This exposure via socket.io authentication can lead to token misuse and unauthorized actions. The vulnerability is significant and requires mitigation measures.,This vulnerability arises from the insecure handling of sensitive tokens stored in localStorage. The code retrieves an access token from localStorage and directly passes it to the socket.io connection for authentication. Using localStorage for storing tokens is considered unsafe because it exposes the token to client-side risks such as cross-site scripting XSS attacks; where an attacker can inject malicious code into the page and gain access to the token. Once an attacker obtains the token; they can impersonate the user and perform unauthorized actions. Furthermore; this method can lead to potential security breaches in web applications that rely on the confidentiality of tokens to ensure secure connections.,7@@14,CWE-522,"8/8/2025, 7:12:17 PM",,False,The vulnerability is genuine because the access token is stored in localStorage and used directly in initializing the socket connection; exposing it to potential XSS attacks. Although similar patterns are common in front-end code; without additional safeguards such as XSS protections or secure storage alternatives; this remains a security risk in a production system like TaskFlow. Therefore; this issue should not be considered a false positive.
5b684c60-a805-4cbb-a0f7-7de4b25171e9,Source Map Exposure,medium,open,/app/frontend/vite.config.ts,taskflow,Enabling source maps in production environments poses serious security risks. It provides attackers with detailed internal code structures which can be used to reverse engineer the application. Consequently; potential vulnerabilities in the code logic may be more easily identified and exploited. It is critical to ensure that such configurations are managed properly to avoid inadvertent exposure of sensitive development details.,The configuration explicitly enables generation of source maps as part of the build process; which internally contain detailed debugging information such as function names; variable names;  comments; and even potential inline documentation. This detailed information; if exposed in a production environment; can facilitate reverse engineering by attackers; allowing them to understand the internal structure and logic of the application; potentially leading to the discovery of other vulnerabilities.  Moreover; such exposure can provide attackers an attack vector to identify and exploit weaknesses in the application. It is a best practice to disable source map generation in production builds or ensure that they are adequately protected to prevent their unintended exposure.,21@@24,CWE-200,"8/8/2025, 7:12:07 PM",,False,The source map generation configuration 'sourcemap: true' in the production build is a genuine risk because it can expose detailed debugging information that facilitates reverse engineering by attackers. Although source maps can be useful for debugging; they should not be generated or exposed in production without proper access controls. Given the critical nature of the production platform; this misconfiguration should be addressed to prevent potential exploitation.
cecd0528-1131-4dac-a1ea-65c070880363,Hardcoded Secret,high,open,/app/frontend/src/services/api.ts,taskflow,Hardcoded OpenAI API key exists; posing severe security risks and exposing sensitive credentials. This practice violates security best practices by embedding sensitive data directly in the source code. Using environment variables or dedicated secret management systems is strongly recommended to avoid unauthorized access.,This issue is due to a hardcoded OpenAI API key within the source code; which exposes sensitive information directly in the repository. Embedding secrets such as API keys in code can lead to unauthorized access if the code is shared or leaked. In this case; the API key allows for potential misuse of the OpenAI service; which contradicts best practices. The proper approach involves storing such secrets in environment variables or using secret management systems to ensure credentials are safeguarded against exposure.,3@@3,CWE-798,"8/8/2025, 7:07:50 PM",,False,The hardcoded OpenAI API key in the production code creates a direct risk since it is embedded and exported in a client-side module; making it exposed and exploitable. There is no indication that this is part of any test or example code; and the vulnerability directly maps to CWE-798. Therefore; this is a true vulnerability and not a false positive.
969c930a-89ea-4f4e-8bbc-ba8ba7b9e26c,IDOR vulnerability,high,open,/app/frontend/src/pages/Profile.tsx,taskflow,The code allows extraction of a user identifier from the URL without validation; potentially leading to an Insecure Direct Object Reference vulnerability. The lack of sanitization and authorization checks means that attackers could manipulate the parameter to access unauthorized user data. Given the potential for significant data breach; this issue requires immediate remediation to implement both input validation and backend authorization.,The identified issue results from the extraction of the 'userId' directly from the URL's query string without employing any sanitization or validation mechanisms. This vulnerability is categorized as an Insecure Direct Object Reference IDOR issue; where the client side code lacks the necessary checks to confirm if the requester is authorized to access the associated data. As a consequence; an attacker could intentionally modify the 'userId' parameter in the URL to obtain unauthorized access to sensitive information from other users when proper backend controls are not in place. In addition; the client-side code appears to rely solely on frontend checks; which may easily be bypassed; thus further exacerbating the risks associated with the vulnerability.,9@@13,CWE-639,"8/8/2025, 7:07:17 PM",,False,The vulnerability is not a false positive because the component extracts the 'userId' directly from the URL without any validation or sanitization; which can potentially lead to an insecure direct object reference if backend authorization is not stringent enough. The lack of client-side checks means that attackers could manipulate the URL to fetch sensitive data. While backend protections might be in place; the reliance solely on them without any front-end validation makes it a valid concern.
931a3020-46b7-42e5-9738-9144abdee8d9,XSS Injection,high,open,/app/frontend/src/components/tasks/TaskComments.tsx,taskflow,Using unsanitized HTML via dangerouslySetInnerHTML can facilitate cross-site scripting attacks. The insertion of user-controlled content without proper sanitization can allow attackers to execute malicious scripts. This opens up possibilities for session hijacking; unauthorized actions; and sensitive data exposure. It is therefore critical to sanitize any dynamic HTML content to protect users.,This code snippet directly inserts HTML content from a user-controlled source into the DOM using React's dangerouslySetInnerHTML. This practice is inherently risky because if the inserted content is not sanitized; it can lead to the injection of malicious scripts into the web page. Such cross-site scripting XSS vulnerabilities allow attackers to execute arbitrary JavaScript; potentially leading to session hijacking; unauthorized actions; or even data leakage. In a collaborative environment like TaskFlow; where multiple users have access to shared content; the impact of an XSS vulnerability is significantly amplified. It is essential that the content is sanitized before insertion or that safer alternatives are used in order to mitigate this risk.,8@@8,CWE-79,"8/8/2025, 7:06:46 PM",,False,The TaskComments component uses dangerouslySetInnerHTML to directly inject user-controlled content without sanitization; consistent with the conditions for XSS vulnerabilities. The dataflow confirms that the unsanitized content reaches the dangerous sink; and the component appears to be part of the production code used in a collaborative task management platform; increasing the risk. No mitigating controls or sanitization logic were found; making this a true security issue.
8bcf3332-0aa9-4715-a0c3-9ade0476c3b5,LocalStorage Token Exposure,medium,open,/app/frontend/src/components/auth/AuthProvider.tsx,taskflow,Storing access token in localStorage exposes it to XSS attacks. This vulnerability allows potential attackers to steal the token through JavaScript injections. The exploit can lead to session hijacking and unauthorized access. Implementing secure storage alternatives is crucial.,The issue arises by storing access tokens in localStorage; which is accessible to JavaScript; thereby exposing sensitive tokens to potential XSS attacks. An attacker who successfully exploits an XSS vulnerability may retrieve the token from localStorage and perform session hijacking; leading to unauthorized user access. The use of insecure localStorage for this purpose is inherently risky; and using more secure storage mechanisms such as HTTP-only cookies can mitigate the threat by preventing JavaScript access.,16@@29,CWE-522,"8/8/2025, 7:03:34 PM",,False,The token is stored in localStorage directly after login without additional safeguards; which is a known vulnerability risk. This implementation exposes the token to XSS attacks; and in a production system like TaskFlow; there is no indication that such a mechanism is acceptable. The use of AuthProvider in the main authentication flow confirms that this component is used in production; and therefore; the vulnerability should not be marked as a false positive.
1ba7ad3e-8d80-4eea-8e27-a4b510cda8c7,Prompt Injection,medium,open,/app/frontend/src/components/ai/AIAssistant.tsx,taskflow,This issue is a prompt injection vulnerability. The vulnerability allows unvalidated user input to be concatenated with a system prompt; risking unintended behavior. It could be exploited to manipulate the assistant's responses and compromise system integrity. Mitigation measures such as input sanitization should be implemented.,The vulnerability arises from constructing the system message by directly concatenating user input with a static system prompt; without any sanitization or validation. This creates an opportunity for an attacker to insert malicious commands into the prompt; causing the application to execute unintended operations or behave in unexpected ways.  In addition; the insecure concatenation leads to what is known as a prompt injection vulnerability. Such weaknesses are dangerous because they can compromise the integrity and trustworthiness of the system; potentially leading to manipulation of responses or unauthorized execution of instructions that undermine the secure operation of the system.,13@@15,CWE-74,"8/8/2025, 7:03:08 PM",,False,The analysis of the source code confirms that there is a prompt injection vulnerability. User input is concatenated with a static system prompt without proper sanitization; which exposes the application to potential manipulation by attackers. This risk is critical in a production environment as unexpected behavior can compromise the system's integrity. The findings; coupled with the absence of mitigating controls and security exemptions in organizational policies; indicate that this vulnerability should not be considered a false positive.
72528dfa-cd43-4ffb-9592-e5e13c46d80d,Hardcoded Credentials,high,open,/app/database/init.sql,taskflow,The code hardcodes a user password; which directly risks exposing critical database access credentials. This vulnerability allows attackers potentially to gain elevated access if the code is leaked or exposed. It is a significant issue that could compromise the system integrity and should be rectified immediately.,The SQL statement in question directly creates a user and assigns a hardcoded password; which is a critical vulnerability. Hardcoding credentials within the source code exposes sensitive information that attackers can leverage to gain unauthorized access to the database. Exposure of these credentials could lead to elevated privileges in the database and possibly compromise the entire system. In production; such practices are especially dangerous and must be avoided by implementing secure credential management practices.,2@@2,CWE-798,"8/8/2025, 7:01:24 PM",,False,The vulnerability is genuine as the source code directly embeds sensitive credentials with hardcoded values in a database initialization file; posing a serious security risk if the file is used in production. There is no evidence provided that this file is for test or demonstration purposes exclusively; and security best practices clearly mandate the use of secure credential management instead of hardcoding sensitive information.
9b666017-832d-4d39-a67a-262d42a0a563,Inadequate Token Verification,high,open,/app/backend/src/utils/jwt.ts,taskflow,The function uses jwt.decode without signature verification; causing potential authentication bypass. This is a critical issue because any tampered token would be mistakenly accepted as valid; thereby compromising the security controls. It is imperative to use jwt.verify to ensure any token presented is both authentic and untampered.,The verifyAccessToken function uses jwt.decode which decodes the JSON web token without verifying its signature. This means that any token; even a modified or tampered one; is accepted as valid; creating a significant security vulnerability. The correct approach should involve using jwt.verify to both decode and validate the token against its signature. Failing to verify the token signature could allow attackers to bypass authentication mechanisms; leading to unauthorized access.,32@@32,CWE-287,"8/8/2025, 6:58:40 PM",,False,The vulnerability is real because verifyAccessToken uses jwt.decode without verifying the token signature. This omission could allow attackers to supply altered tokens; and the function is actively used in critical parts of the system such as authentication middleware and socket services. Therefore; it is not a false positive and must be addressed.
b78da17d-8e7f-4aae-866e-7bb71b5d8268,Hardcoded Secret,high,open,/app/backend/src/utils/jwt.ts,taskflow,Using a hardcoded JWT secret undermines token security because it is embedded in the source code. Exposing the repository or accidental leaks will reveal the default secret; allowing attackers to forge tokens. Best practices require secrets to be managed securely outside the source code.,The code hardcodes the JWT secret with a default value; which poses a serious security risk. Hardcoding secrets in source code means that if the code is exposed through version control or other means; the secret can be easily extracted and misused by attackers. This vulnerability allows an attacker to forge or manipulate JWT tokens; leading to unauthorized access or privilege escalation. Secure practices dictate that secrets should be stored in environment variables or secure vaults to minimize exposure.,9@@9,CWE-798,"8/8/2025, 6:58:40 PM",,False,The JWT secret is hardcoded to a default insecure value and is used for signing access tokens; making it vulnerable to token forgery if the code is exposed. The file and usage indicate it is intended for production; and no safe guards or override mechanisms like sourcing from environment variables are implemented. This vulnerability is genuine and should be addressed.
