ID,Name,Severity,Status,Location,Branch,Message,Description,Line Span,CWE,Created Date,Closed Date,False Positive,False Positive Explanation
45ffbb72-0cfd-4eff-ab04-15f75e624de2,Hardcoded OpenAI Key,high,open,/app/frontend/src/services/api.ts,taskflow,This issue involves a hardcoded OpenAI API key in the exposed source code. The key is directly embedded; which makes it accessible to attackers. Such exposure can lead to unauthorized access and misuse of external services; compromising the overall security of the application.,Hardcoding an API key directly in the source code is a critical vulnerability. By exposing the OpenAI key in a public frontend application; any user or attacker can easily extract it. This exposure can lead to unauthorized API calls that could abuse the external service; resulting in compromised data integrity and potential misuse of resources. The vulnerability undermines secure authentication practices and poses a significant threat to the application’s security; making it imperative to securely manage secrets through environment variables or secure vault solutions.,3@@3,CWE-798,"8/8/2025, 3:30:11 PM",,False,The analysis indicates that the OpenAI secret key is hardcoded directly in production-level frontend code; where it is exposed to users. This poses a high risk because it allows attackers to extract and misuse the key; undermining external service security. Given that this key should be managed via secure environments and not shipped in the client bundle; this vulnerability is genuine and cannot be safely ignored.
de0567b4-4b73-4a35-bde5-c5d0b3f3c314,Unsafe InnerHTML,high,open,/app/frontend/src/components/tasks/TaskComments.tsx,taskflow,Rendering untrusted HTML via dangerouslySetInnerHTML without sanitization facilitates XSS vulnerabilities. This allows attackers to inject harmful scripts that can compromise user data and sessions. The absence of proper content validation further heightens the risk; making it a significant security concern.,This issue arises because the component directly injects user-provided content into the DOM via React's dangerouslySetInnerHTML attribute without sanitization or proper validation. This can result in cross-site scripting XSS vulnerabilities; as an attacker could inject malicious scripts that execute in the context of the authenticated user. The lack of proper content filtering and sanitization makes this a serious security risk; especially in collaborative platforms where user-generated content is common.,8@@8,CWE-79,"8/8/2025, 3:26:48 PM",,False,The TaskComments component directly injects untrusted user-generated content into the DOM using dangerouslySetInnerHTML without any sanitization; making it susceptible to XSS. The code is part of the main production codebase for TaskFlow; where user content is expected and such an omission can lead to severe exploits. Given the absence of any validation or sanitization logic; the vulnerability issue is valid and should not be ignored.
c184f984-40e5-44dc-8aaf-8048512445f3,Prompt Injection,high,open,/app/frontend/src/components/ai/AIAssistant.tsx,taskflow,This issue presents a high-risk logic flaw where user input is inappropriately merged into a system prompt; thereby exposing the system to prompt injection attacks. The vulnerability allows attackers to potentially inject harmful directives into the system message; causing unintended behavior. Such issues are critical because they enable execution of unauthorized commands or leakage of sensitive information.,This code creates a system prompt by combining raw user input with a base system prompt. Given that the system message is used as authoritative instructions for the language model; the concatenation of untrusted user input introduces a prompt injection vulnerability. An attacker could manipulate this mechanism by inserting malicious commands or altering the assistant’s intended behavior. Furthermore; such vulnerabilities are typically subtle as they stem from logic issues rather than overt security misconfigurations or traditional code injection flaws. This can result in execution of unauthorized operations or data leakage; and since the input is on the client side; it might be overlooked during code review processes.,13@@15,CWE-200,"8/8/2025, 3:25:17 PM",,False,The AIAssistant component directly concatenates unsanitized user input with a fixed system prompt; creating an exploitable prompt injection vulnerability. The dataflow flows from the user input in the interface to the prompt sent to the backend AI service with no sanitization; meaning an attacker can inject malicious commands. As this component is part of production code in a task management platform; it presents a genuine security risk rather than a false positive.
8233fc01-36d5-4149-a049-85e1ac029160,Plain Text Token Storage,high,open,/app/frontend/src/components/auth/AuthProvider.tsx,taskflow,Storing JWT tokens in localStorage poses a high risk due to the vulnerability to XSS attacks; which can lead to session hijacking and account compromise. The token is stored as plain text and is accessible from any script; including malicious ones. This could allow an attacker to gain unauthorized access to the user's session; thereby compromising the application. It is critical to use a more secure storage mechanism to prevent such risks.,Storing JWT tokens in localStorage creates a significant security vulnerability due to the exposure of sensitive authentication data in a client-accessible storage mechanism. If an attacker manages to run malicious JavaScript on the client side; for instance via an XSS attack; they can easily retrieve these tokens and impersonate legitimate users; leading to unauthorized access. The vulnerability is compounded by the persistence of data in plain text in localStorage; which makes remediation difficult unless the application is redesigned to use more secure cookie storage with the httpOnly flag or another secure storage mechanism. Additionally; the failure to mitigate potential script injections further increases the risk of session hijacking and full compromise of user accounts.,16@@16,CWE-200,"8/8/2025, 3:24:44 PM",,False,The vulnerability is in production authentication code that stores a JWT in localStorage; exposing it to potential XSS attacks. The data flow analysis confirms that sensitive tokens are handled insecurely without compensating security measures; making the risk real. Thus; this issue is not a false positive and should be addressed with more secure storage mechanisms.
2a6f3c10-18d0-4789-ade1-1a4161eefffb,Dangerous Module Enablement,high,open,/app/backend/src/utils/ai-config.ts,taskflow,Enabling these modules without proper controls grants excessive privileges that can be exploited for unauthorized data access; network attacks; and database manipulation. The vulnerability results from failing to enforce the principle of least privilege and the absence of validation mechanisms for module access. The risk is significant especially when used in larger interconnected systems.,The issue arises from enabling the Node.js core modules fs; net; and db for the AI tools without proper restrictions or validation. With unrestricted access to these sensitive modules; an attacker or a compromised AI tool could read or modify sensitive data; establish harmful external connections; and execute arbitrary queries on the database. This leads to an improper access control flaw that could result in escalated privileges and cascading security breaches if exploited.,1@@1,CWE-284,"8/8/2025, 3:24:41 PM",,False,The vulnerability is not a false positive as it originates in a production configuration file that blindly enables sensitive Node.js modules. The lack of restrictions and the connection to dangerous operations; such as unsanitized usage in an external command execution childprocess.exec in fileService; establishes a clear risk. Given that TaskFlow is a production system and the configuration could be exploited to access sensitive data or perform arbitrary operations; this is a valid security concern.
8eb3f4e6-06bf-4932-81c5-61621533bc7c,Hardcoded DB Credentials,high,open,/app/database/init.sql,taskflow,Hardcoding sensitive credentials directly in the source code presents a significant security risk. The credentials are exposed in plain text and can be easily exploited by attackers. This vulnerability compromises the integrity and confidentiality of the database by allowing unauthorized access; making it a critical issue that needs immediate attention.,The vulnerability arises because the database credentials are directly hardcoded in the source code; which exposes them to anyone with access to the repository. This practice makes it easy for attackers to obtain these credentials through automated scans; code leaks; or accidental exposure when the code is shared; thereby allowing unauthorized access to the database. The inclusion of the username and password in plain text violates the principle of least privilege and creates an easy avenue for privilege escalation; data exfiltration; and potential manipulation of the database. Given that attackers can directly leverage these credentials; it is imperative to secure them by using secure storage mechanisms or environment variables.,2@@3,"CWE-798, CWE-259","8/8/2025, 3:22:50 PM",,False,The vulnerability is genuine because the database initialization script hardcodes the credentials; which poses a security risk if the file is used in production. The file's context in a production database directory makes it critical. Hardcoded credentials violate security best practices and can lead to unauthorized access; making the issue adverse. Therefore; this vulnerability cannot be ignored and should be fixed by using secure storage mechanisms.
ea95141f-6933-47fa-9e7d-2847ba78cac9,Hardcoded JWT Secret,high,open,/app/backend/src/utils/jwt.ts,taskflow,Hardcoded JWT secret presents a critical risk as it allows attackers to produce forged tokens and bypass security controls. The use of a weak; hardcoded secret undermines secret management best practices; leaving the system vulnerable. Remediation requires dynamic and secure secret management.,The issue arises because the JWT secret is hardcoded directly into the code as 'default'. Hardcoding secrets means that if an attacker gains access to the code; they can easily retrieve this secret. This vulnerability can lead to token forgery where an attacker is able to create valid JWT tokens and bypass authentication mechanisms; thereby gaining unauthorized access.,9@@9,CWE-798,"8/8/2025, 3:22:13 PM",,False,The hardcoded JWT secret 'default' in a utility file intended for production use poses a critical risk. If not overridden by a secure secret via environment variables in the production environment; it allows attackers to forge valid tokens and bypass authentication. This vulnerability must be remediated; and therefore cannot be safely ignored.
f4044f9b-d5ae-42ef-8a47-0bd8e7faeff6,Hardcoded Refresh Secret,high,open,/app/backend/src/utils/jwt.ts,taskflow,The issue arises from using a hardcoded default value for the refresh token secret; which poses a serious security risk if the environment variable is not properly set. This default value can be easily exploited by attackers to forge valid refresh tokens and gain unauthorized access to sensitive parts of the system. It is crucial to enforce secure secret management practices and ensure that such hardcoding is removed to prevent potential breaches.,The code explicitly sets a refresh token secret by defaulting to a hardcoded string if the required environment variable is not provided. This introduces a serious vulnerability because if the configuration is incomplete or misconfigured; an attacker could potentially use the known fallback secret to forge refresh tokens. Such an exploit could allow unauthorized generation of tokens that bypass proper authentication processes.  Furthermore; the fallback to a hardcoded secret violates best practices for secret management. Secrets should never be embedded directly within the source code because any exposure of the code could compromise the entire system. Best practices dictate that all secrets must be stored and retrieved securely; typically via environment variables or dedicated secret management systems; minimizing the risk of exploitation and ensuring stronger security posture.,13@@13,CWE-798,"8/8/2025, 3:22:13 PM",,False,The utility code is used in production to generate and verify tokens; and the use of a hardcoded fallback refresh token secret directly impacts security. If an environment variable is missing; attackers might exploit this weakness by forging tokens. The analysis of both the code and project context confirms this as a genuine high-risk issue rather than a false positive.
ca40338d-79dc-4342-9718-1e4c8562d854,Missing JWT Verification,high,open,/app/backend/src/utils/jwt.ts,taskflow,The function employs jwt.decode which fails to verify the signature of the JWT token; thereby allowing attackers to create forged tokens. Due to the lack of signature verification; the integrity of the JWT is compromised; putting the system at risk of unauthorized access.,The verifyAccessToken function fails to verify the JWT token's signature; allowing the possibility of token forgery and unauthorized access. Without proper signature validation using jwt.verify; for example; attackers can craft arbitrary tokens that will be accepted as valid; leading to significant security risks including unauthorized access and potential privilege escalation. The use of jwt.decode here essentially bypasses the validation process; highlighting a critical flaw in the authentication mechanism.,32@@32,CWE-327,"8/8/2025, 3:22:13 PM",,False,The verifyAccessToken function using jwt.decode is a genuine security risk as it fails to verify the JWT token's signature; potentially allowing attackers to forge tokens. This function being part of production-level code in the utility directory means that the vulnerability could be exploited; making it a significant issue that cannot be safely ignored.
4a4709ad-7f6a-4601-a3a9-e5f7744b00f5,Dynamic Require,critical,open,/app/backend/src/utils/ai-plugins.ts,taskflow,This vulnerability involves an unvalidated dynamic require which can load and execute attacker-supplied modules; leading to arbitrary code execution. The lack of input validation or sanitization leaves the system highly vulnerable; and it may lead to full system compromise if exploited.,"The issue arises from the use of a dynamic require call without validating the """"name"""" variable; allowing an attacker to specify a plugin name that points to arbitrary code on the file system. This can lead to the execution of malicious code as the plugin's run function is subsequently called; causing a potential complete system compromise through arbitrary code execution. It is critical that developers validate or sanitize external inputs before using them in module loading functions to avoid such severe vulnerabilities.",5@@6,CWE-94,"8/8/2025, 3:20:02 PM",,False,The dynamic require usage on an unsanitized 'name' parameter is a genuine security risk; as it can be exploited to load arbitrary code. Its inclusion in production utility code further increases the risk. Without proper input validation or sanitization; this vulnerability exposes the system to arbitrary code execution; and there is no contextual evidence suggesting it is a false positive.
